date,version,count
2022-06-24T06:37:50.148Z,0.0.1,20
2022-06-25T02:10:26.318Z,0.0.1,20
2022-06-26T02:21:03.322Z,0.0.1,43
2022-06-27T02:07:17.207Z,0.0.1,43
2022-06-28T02:05:12.118Z,0.0.1,45
2022-06-29T02:13:04.295Z,0.0.1,48
2022-06-30T02:10:39.690Z,0.0.1,50
2022-07-01T02:26:13.773Z,0.0.1,53
2022-07-02T02:06:37.625Z,0.0.1,82
2022-07-03T02:12:42.136Z,0.0.1,75
2022-07-04T02:20:59.913Z,0.0.1,76
2022-07-05T02:10:57.532Z,0.0.1,76
2022-07-06T02:23:30.259Z,0.0.1,100
2022-07-07T02:23:21.737Z,0.0.1,144
2022-07-08T02:14:22.634Z,0.0.1,159
2022-07-09T02:01:28.933Z,0.0.1,150
2022-07-10T02:23:21.186Z,0.0.1,191
2022-07-11T02:12:41.781Z,0.0.1,191
2022-07-12T02:22:55.623Z,0.0.1,193
2022-07-13T02:10:17.131Z,0.0.1,213
2022-07-14T02:22:22.030Z,0.0.1,199
2022-07-15T02:29:28.199Z,0.0.1,207
2022-07-16T02:08:23.202Z,0.0.1,183
2022-07-17T02:19:31.452Z,0.0.1,142
2022-07-18T02:15:11.418Z,0.0.1,141
2022-07-19T02:26:18.442Z,0.0.1,141
2022-07-20T02:10:29.167Z,0.0.1,111
2022-07-21T02:12:40.558Z,0.0.1,124
2022-07-22T02:15:05.243Z,0.0.1,131
2022-07-23T02:15:25.802Z,0.0.1,132
2022-07-24T02:21:19.641Z,0.0.1,132
2022-07-25T02:12:44.598Z,0.0.1,115
2022-07-25T02:12:44.598Z,1.0.0,5
2022-07-26T02:26:19.007Z,1.0.0,6
2022-07-26T02:26:19.007Z,0.0.1,112
2022-07-27T02:22:43.532Z,0.0.1,110
2022-07-27T02:22:43.532Z,1.0.0,11
2022-07-28T02:09:50.965Z,0.0.1,89
2022-07-28T02:09:50.965Z,1.0.0,17
2022-07-28T02:09:50.965Z,1.0.1,42
2022-07-29T02:23:40.847Z,1.0.0,18
2022-07-29T02:23:40.847Z,0.0.1,63
2022-07-29T02:23:40.847Z,1.0.1,91
2022-07-30T02:11:45.163Z,0.0.1,48
2022-07-30T02:11:45.163Z,1.0.0,19
2022-07-30T02:11:45.163Z,1.0.1,262
2022-07-31T02:27:50.088Z,1.0.1,442
2022-07-31T02:27:50.088Z,1.0.0,16
2022-07-31T02:27:50.088Z,0.0.1,50
2022-08-01T02:24:50.217Z,0.0.1,50
2022-08-01T02:24:50.217Z,1.0.1,452
2022-08-01T02:24:50.217Z,1.0.0,17
