date,version,count
2022-10-13T02:34:00.852Z,0.0.1,48
2022-10-14T02:45:13.077Z,0.0.1,55
2022-10-15T02:40:09.522Z,0.0.1,56
2022-10-16T02:45:56.747Z,0.0.1,59
2022-10-17T02:48:07.265Z,0.0.1,59
2022-10-18T02:39:03.461Z,0.0.1,59
2022-10-19T02:34:45.639Z,0.0.1,60
2022-10-20T02:36:43.752Z,0.0.1,13
2022-10-21T02:06:54.145Z,0.0.1,6
2022-10-22T02:25:20.314Z,0.0.1,5
2022-10-22T02:25:20.314Z,0.0.2,37
2022-10-23T02:35:55.070Z,0.0.2,50
2022-10-23T02:35:55.070Z,0.0.1,4
2022-10-24T02:48:17.156Z,0.0.2,54
2022-10-24T02:48:17.156Z,0.0.1,5
2022-10-25T02:42:22.760Z,0.0.2,54
2022-10-25T02:42:22.760Z,0.0.1,5
2022-10-26T02:20:05.495Z,0.0.1,4
2022-10-26T02:20:05.495Z,0.0.2,55
2022-10-27T02:11:57.120Z,0.0.2,56
2022-10-27T02:11:57.120Z,0.0.1,4
2022-10-28T02:25:39.772Z,0.0.2,59
2022-10-28T02:25:39.772Z,0.0.1,6
2022-10-29T02:06:30.711Z,0.0.2,22
2022-10-29T02:06:30.711Z,0.0.1,6
2022-10-30T02:30:40.232Z,0.0.2,14
2022-10-30T02:30:40.232Z,0.0.1,5
2022-10-31T02:28:44.856Z,0.0.1,4
2022-10-31T02:28:44.856Z,0.0.2,9
2022-11-01T02:35:05.239Z,0.0.1,4
2022-11-01T02:35:05.239Z,0.0.2,9
2022-11-02T02:25:02.167Z,0.0.2,8
2022-11-02T02:25:02.167Z,0.0.1,4
2022-11-03T02:06:57.654Z,0.0.2,8
2022-11-03T02:06:57.654Z,0.0.1,3
2022-11-04T02:13:20.673Z,0.0.2,5
2022-11-04T02:13:20.673Z,0.0.1,1
2022-11-05T02:04:44.456Z,0.0.2,5
2022-11-05T02:04:44.456Z,0.0.1,1
2022-11-06T02:08:35.722Z,0.0.2,3
2022-11-06T02:08:35.722Z,0.0.1,1
2022-11-07T02:02:51.517Z,0.0.1,2
2022-11-07T02:02:51.517Z,0.0.2,3
