date,version,count
2021-01-30T08:43:24.680Z,0.0.1,717
2021-01-30T08:43:24.680Z,1.0.0,793
2021-01-30T08:43:24.680Z,1.0.1,56
2021-01-31T01:02:03.878Z,0.0.1,717
2021-01-31T01:02:03.878Z,1.0.0,793
2021-01-31T01:02:03.878Z,1.0.1,56
2021-02-01T01:02:07.834Z,1.0.1,69
2021-02-01T01:02:07.834Z,1.0.0,1000
2021-02-01T01:02:07.834Z,0.0.1,965
2021-02-02T00:56:54.664Z,1.0.0,946
2021-02-02T00:56:54.664Z,0.0.1,946
2021-02-02T00:56:54.664Z,1.0.1,103
2021-02-03T00:51:56.905Z,1.0.0,893
2021-02-03T00:51:56.905Z,0.0.1,940
2021-02-03T00:51:56.905Z,1.0.1,87
2021-02-04T00:48:14.485Z,0.0.1,906
2021-02-04T00:48:14.485Z,1.0.0,737
2021-02-04T00:48:14.485Z,1.0.1,220
